ticker,quarter_id,llm_pos_ratio,llm_neg_ratio,llm_net_sentiment
ABB,2022Q1,0.0,0.0,0.0
ABB,2022Q2,0.09090909090909091,0.0,0.09090909090909091
ABB,2022Q3,0.0,0.0,0.0
ABB,2022Q4,0.1,0.0,0.1
ABB,2023Q1,0.0,0.14285714285714285,-0.14285714285714285
ABB,2023Q2,0.0,0.0,0.0
ABB,2023Q3,0.16666666666666666,0.0,0.16666666666666666
ABB,2023Q4,0.0,0.0,0.0
ABB,2024Q1,0.3333333333333333,0.0,0.3333333333333333
ABB,2024Q2,0.14285714285714285,0.0,0.14285714285714285
ABB,2024Q3,0.0,0.0,0.0
ABB,2024Q4,0.14285714285714285,0.0,0.14285714285714285
ABB,2025Q1,0.11764705882352941,0.0,0.11764705882352941
ABB,2025Q2,0.2857142857142857,0.14285714285714285,0.14285714285714285
ABB,2025Q3,0.14285714285714285,0.07142857142857142,0.07142857142857142
ABB,2025Q4,0.0967741935483871,0.0,0.0967741935483871
ABB,2026Q1,0.08,0.0,0.08
ABB,2026Q2,0.18421052631578946,0.0,0.18421052631578946
ACB,2022Q1,0.0,0.0,0.0
ACB,2022Q2,0.09090909090909091,0.0,0.09090909090909091
ACB,2022Q3,0.0,0.0,0.0
ACB,2022Q4,0.0,0.0,0.0
ACB,2023Q1,0.038461538461538464,0.0,0.038461538461538464
ACB,2023Q2,0.08695652173913043,0.0,0.08695652173913043
ACB,2023Q3,0.0,0.0,0.0
ACB,2023Q4,0.0,0.0,0.0
ACB,2024Q1,0.0,0.0,0.0
ACB,2024Q2,0.047619047619047616,0.0,0.047619047619047616
ACB,2024Q3,0.0,0.0,0.0
ACB,2024Q4,0.0,0.0,0.0
ACB,2025Q1,0.037037037037037035,0.0,0.037037037037037035
ACB,2025Q2,0.14705882352941177,0.0,0.14705882352941177
ACB,2025Q3,0.022222222222222223,0.044444444444444446,-0.022222222222222223
ACB,2025Q4,0.0,0.0425531914893617,-0.0425531914893617
ACB,2026Q1,0.027777777777777776,0.0,0.027777777777777776
ACB,2026Q2,0.1125,0.0125,0.1
ANV,2022Q1,0.5,0.0,0.5
ANV,2022Q2,0.05555555555555555,0.0,0.05555555555555555
ANV,2022Q3,0.0,0.0,0.0
ANV,2022Q4,0.0,0.0,0.0
ANV,2023Q1,0.125,0.0,0.125
ANV,2023Q2,0.0,0.0,0.0
ANV,2023Q3,0.0,0.0,0.0
ANV,2023Q4,0.0,0.3333333333333333,-0.3333333333333333
ANV,2024Q1,0.0,0.0,0.0
ANV,2024Q2,0.0,0.0,0.0
ANV,2024Q3,0.0,0.0,0.0
ANV,2024Q4,0.2,0.0,0.2
ANV,2025Q1,0.0,0.3333333333333333,-0.3333333333333333
ANV,2025Q2,0.0,0.0,0.0
ANV,2025Q3,0.125,0.0,0.125
ANV,2025Q4,0.1,0.0,0.1
ANV,2026Q1,0.07142857142857142,0.0,0.07142857142857142
ANV,2026Q2,0.08333333333333333,0.0,0.08333333333333333
BAB,2022Q1,0.0,0.0,0.0
BAB,2022Q2,0.06666666666666667,0.0,0.06666666666666667
BAB,2022Q3,0.0,0.0,0.0
BAB,2022Q4,0.0,0.0,0.0
BAB,2023Q1,0.09523809523809523,0.0,0.09523809523809523
BAB,2023Q2,0.0,0.0,0.0
BAB,2023Q3,0.08333333333333333,0.0,0.08333333333333333
BAB,2023Q4,0.23529411764705882,0.0,0.23529411764705882
BAB,2024Q1,0.07142857142857142,0.0,0.07142857142857142
BAB,2024Q2,0.0,0.0,0.0
BAB,2024Q3,0.0,0.0,0.0
BAB,2024Q4,0.0,0.0,0.0
BAB,2025Q1,0.0,0.0,0.0
BAB,2025Q2,0.125,0.0,0.125
BAB,2025Q3,0.0,0.0,0.0
BAB,2025Q4,0.0,0.0,0.0
BAB,2026Q1,0.043478260869565216,0.0,0.043478260869565216
BAB,2026Q2,0.058823529411764705,0.0,0.058823529411764705
BCM,2022Q1,0.2,0.0,0.2
BCM,2022Q2,0.1,0.0,0.1
BCM,2022Q3,0.058823529411764705,0.0,0.058823529411764705
BCM,2022Q4,0.0,0.0,0.0
BCM,2023Q1,0.0,0.0,0.0
BCM,2023Q2,0.07692307692307693,0.0,0.07692307692307693
BCM,2023Q3,0.125,0.0,0.125
BCM,2023Q4,0.0,0.0,0.0
BCM,2024Q1,0.0,0.0,0.0
BCM,2024Q2,0.0,0.0,0.0
BCM,2024Q3,0.0,0.0,0.0
BCM,2024Q4,0.16666666666666666,0.0,0.16666666666666666
BCM,2025Q1,0.0,0.0,0.0
BCM,2025Q2,0.04,0.04,0.0
BCM,2025Q3,0.027777777777777776,0.0,0.027777777777777776
BCM,2025Q4,0.10714285714285714,0.0,0.10714285714285714
BCM,2026Q1,0.13333333333333333,0.0,0.13333333333333333
BCM,2026Q2,0.034482758620689655,0.0,0.034482758620689655
BID,2022Q1,0.0,0.0,0.0
BID,2022Q2,0.024390243902439025,0.0,0.024390243902439025
BID,2022Q3,0.04,0.0,0.04
BID,2022Q4,0.0,0.0,0.0
BID,2023Q1,0.0,0.0,0.0
BID,2023Q2,0.019230769230769232,0.0,0.019230769230769232
BID,2023Q3,0.0,0.0,0.0
BID,2023Q4,0.04878048780487805,0.0,0.04878048780487805
