ticker,quarter_id,llm_score_news_count,llm_score_direct_ratio,llm_score_irrelevant_ratio,llm_sentiment_mean,llm_sentiment_weighted_mean,llm_positive_ratio,llm_negative_ratio,llm_materiality_mean,llm_high_materiality_count,llm_risk_mean,llm_high_risk_count,llm_confidence_mean,llm_earnings_count,llm_dividend_count,llm_capital_count,llm_debt_risk_count,llm_legal_risk_count,llm_governance_count
ABB,2022Q1,7.0,1.0,0.0,0.24285714285714288,0.165,0.5714285714285714,0.0,0.5,2.0,0.15714285714285717,0.0,0.8642857142857144,1.0,1.0,4.0,0.0,0.0,1.0
ABB,2022Q2,12.0,1.0,0.0,0.05833333333333333,0.04725000000000001,0.08333333333333333,0.0,0.4333333333333333,1.0,0.17500000000000004,0.0,0.8250000000000002,3.0,0.0,4.0,0.0,0.0,1.0
ABB,2022Q3,9.0,1.0,0.0,0.0,-0.0016666666666666666,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.0,0.23333333333333334,0.0,0.8222222222222223,2.0,0.0,1.0,0.0,0.0,2.0
ABB,2022Q4,11.0,1.0,0.0,0.02727272727272727,0.009545454545454544,0.09090909090909091,0.0,0.36363636363636365,0.0,0.2090909090909091,0.0,0.8272727272727274,2.0,0.0,3.0,0.0,0.0,4.0
ABB,2023Q1,9.0,1.0,0.0,-0.1111111111111111,-0.06355555555555555,0.0,0.2222222222222222,0.35555555555555557,2.0,0.25555555555555554,1.0,0.8555555555555556,1.0,0.0,0.0,0.0,1.0,6.0
ABB,2023Q2,13.0,1.0,0.0,0.14615384615384613,0.07684615384615384,0.38461538461538464,0.0,0.37692307692307697,1.0,0.13076923076923078,0.0,0.8230769230769232,1.0,4.0,2.0,0.0,0.0,1.0
ABB,2023Q3,8.0,1.0,0.0,0.075,0.03,0.125,0.0,0.4125,0.0,0.2375,0.0,0.8625,1.0,0.0,4.0,0.0,0.0,2.0
ABB,2023Q4,5.0,1.0,0.0,-0.12,-0.0306,0.0,0.4,0.38,0.0,0.3,0.0,0.8,0.0,0.0,3.0,0.0,0.0,2.0
ABB,2024Q1,9.0,1.0,0.0,-0.09999999999999999,-0.050666666666666665,0.0,0.2222222222222222,0.3444444444444445,2.0,0.2555555555555556,1.0,0.8777777777777778,2.0,0.0,0.0,0.0,0.0,5.0
ABB,2024Q2,7.0,0.8571428571428571,0.0,0.08571428571428572,0.038571428571428576,0.14285714285714285,0.0,0.27142857142857146,0.0,0.12857142857142856,0.0,0.8285714285714285,1.0,0.0,1.0,0.0,0.0,3.0
ABB,2024Q3,7.0,1.0,0.0,0.09999999999999999,0.072,0.14285714285714285,0.0,0.2857142857142857,1.0,0.14285714285714285,0.0,0.8285714285714286,1.0,0.0,0.0,0.0,0.0,1.0
ABB,2024Q4,7.0,1.0,0.0,0.014285714285714287,0.006428571428571429,0.0,0.0,0.4571428571428572,0.0,0.31428571428571433,0.0,0.8142857142857143,2.0,0.0,1.0,0.0,0.0,2.0
ABB,2025Q1,16.0,1.0,0.0,0.06874999999999999,0.05540625,0.125,0.0625,0.3875,3.0,0.1875,1.0,0.871875,2.0,0.0,2.0,0.0,0.0,8.0
ABB,2025Q2,6.0,1.0,0.0,0.3,0.2285,0.5,0.0,0.5166666666666667,2.0,0.15,0.0,0.8583333333333334,2.0,0.0,0.0,0.0,0.0,3.0
ABB,2025Q3,17.0,1.0,0.0,0.017647058823529415,0.03114705882352941,0.058823529411764705,0.058823529411764705,0.35294117647058826,1.0,0.1647058823529412,0.0,0.8382352941176472,1.0,0.0,4.0,0.0,1.0,6.0
ABB,2025Q4,18.0,1.0,0.0,0.08333333333333333,0.06675,0.1111111111111111,0.0,0.40555555555555556,3.0,0.18333333333333338,0.0,0.8361111111111111,1.0,0.0,6.0,0.0,0.0,4.0
ABB,2026Q1,28.0,1.0,0.0,0.010714285714285714,0.004285714285714286,0.03571428571428571,0.0,0.37500000000000006,2.0,0.19642857142857142,0.0,0.857142857142857,0.0,0.0,16.0,0.0,0.0,5.0
ABB,2026Q2,13.0,1.0,0.0,0.06923076923076922,0.04246153846153847,0.15384615384615385,0.0,0.3461538461538462,1.0,0.16153846153846155,0.0,0.8153846153846155,0.0,1.0,3.0,0.0,0.0,0.0
ACB,2022Q1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.10000000000000002,0.0,0.9,0.0,0.0,0.0,0.0,0.0,2.0
ACB,2022Q2,7.0,1.0,0.0,0.3714285714285714,0.26271428571428573,0.7142857142857143,0.0,0.6428571428571429,4.0,0.15714285714285717,0.0,0.8571428571428573,1.0,4.0,0.0,0.0,0.0,1.0
ACB,2022Q3,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.8625,1.0,0.0,1.0,0.0,0.0,2.0
ACB,2022Q4,5.0,1.0,0.0,0.16,0.1368,0.2,0.0,0.4,1.0,0.13999999999999999,0.0,0.8699999999999999,1.0,0.0,1.0,0.0,0.0,2.0
