cache_key,content_hash,ticker,article_date,title,url,is_stock_relevant,sentiment,sentiment_score,importance_score,information_magnitude_score,uncertainty_score,novelty_hint_score,reasoning_confidence,time_horizon,event_type,relevance_to_ticker,summary,reason,provider,requested_model,response_model,request_id,prompt_sha256,input_sha256,extracted_at_utc,status,error
605b603c4656de19a9b774986ebdcdcc1f4881ea21238d4229e8edaa5051909f,16a80ca08b3c22425f5c9d3607186eb8bb14872740575f4fb5d5cb18e3d83038,HPG,2022-01-01,top co phieu nang do thi truong 2021 goi ten msn vpb hpg thd bsr 1046627.html,https://kinhtechungkhoan.vn/top-co-phieu-nang-do-thi-truong-2021-goi-ten-msn-vpb-hpg-thd-bsr-1046627.html,False,neutral,0.3,3.0,3.0,3.0,3.0,3.0,unclear,other,irrelevant,"Bài báo liệt kê HPG là một trong những cổ phiếu nâng đỡ thị trường năm 2021, cho thấy hiệu suất tích cực trong quá khứ.",,deepseek,deepseek-chat,deepseek-v4-flash,ffb4efc8-d557-4e8e-b41f-2bf97ec9fb0d,7cb1df54529ffb86858f573c88b750a9363da5381d1ba9eb0b14c7021ddc1563,7abceb4ce83767b11251cdb279453c3d8387997c9f35e72fc3d977274f28c969,2026-07-07T10:16:07+00:00,ok,
a03ca9863905dbddb0795ab4652e0b371b875ae23073d9f330d0c03df6ae83bf,31adcc31162a20b645a085ad65885229dc9f1e78ac7ccc6d11b36ca60e28734b,HPG,2022-01-10,hoa phat hpg tieu thu ky luc 8 8 trieu tan thep cac loai nam 2021 tang truong 35 1079070.html,https://kinhtechungkhoan.vn/hoa-phat-hpg-tieu-thu-ky-luc-8-8-trieu-tan-thep-cac-loai-nam-2021-tang-truong-35-1079070.html,False,neutral,0.8,3.0,4.0,3.0,3.0,3.0,unclear,other,irrelevant,"Hòa Phát (HPG) đạt kỷ lục tiêu thụ 8,8 triệu tấn thép các loại năm 2021, tăng trưởng 35% so với năm trước.",,deepseek,deepseek-chat,deepseek-v4-flash,68831f56-4617-4e69-8cdb-c98910b80910,2454cc39047ca76d704cd36071ba3696aed57fb7d5869ed38129417d0d4291fc,c8250977fe1e98b03ff6f81846d69495bb53d90f69dd79b6e933c803dd18b747,2026-07-07T10:16:09+00:00,ok,
2eb2916c843a9a3c552cf6c5c483fb54c38010bbabd27c401fb3b082886c928c,5d1b61e7ce1b3ac14b9535482bc614db38a5075d6adba209de4a12cba671fba3,FPT,2022-01-12,tin tuc chung khoan moi nhat 9h00 hom nay 12 1 2022 fpt hah lhg agg kdm sjf vfg vab c4g 1020667.html,https://kinhtechungkhoan.vn/tin-tuc-chung-khoan-moi-nhat-9h00-hom-nay-12-1-2022-fpt-hah-lhg-agg-kdm-sjf-vfg-vab-c4g-1020667.html,False,neutral,0.0,3.0,1.0,3.0,3.0,3.0,unclear,other,irrelevant,"Bài báo chỉ là tiêu đề và mô tả lặp lại, không có nội dung thông tin tài chính cụ thể.",,deepseek,deepseek-chat,deepseek-v4-flash,80939994-40f0-4caf-956e-4633bc64dc84,e3b03ab9de8f87f340736eec144cddf5e6575d76f4baaa62832395f0fa003f54,72315c5798ce2e842e7bc4b68797fac50975d99fe0d0001051000301276fa0ac,2026-07-07T10:16:10+00:00,ok,
a0c4fd3e33c51de95b632b6f4fe5f189f4655d429aa3ac7e66a1dabf8f05329a,279b4d438d9272a5717365e023b2e3b3d022109fa8154f300c6d377b805210e2,SSI,2022-01-19,SSI: Nghị quyết HĐQT thông qua chi tiết phương án chào bán thêm cổ phiếu cho CĐHH,https://cafef.vn/du-lieu/SSI-512546/ssi-nghi-quyet-hdqt-thong-qua-chi-tiet-phuong-an-chao-ban-them-co-phieu-cho-cdhh.chn,False,neutral,0.0,3.0,3.0,3.0,3.0,3.0,unclear,other,irrelevant,SSI announces board resolution approving detailed plan for rights offering to existing shareholders.,,deepseek,deepseek-chat,deepseek-v4-flash,bd9b3211-d38b-4253-9f95-281c21265be6,de0f46cbd648dc799dea9e9af2d9205505587ad4546e0b287b1f274c38a1ceda,20757daf28554d547747ddf6c4d82bd2abbe8397a9ab85fb2d09dc94dbe2e3b7,2026-07-07T10:16:11+00:00,ok,
b1f09228f7442b8251942e3c851f2e72f85e7a7760a31f1dee4bbd5ad0c5bc13,a2adc35b0f52066a2fce7cd38cccc9f5a0a435f09dc373c5777abd228700ede6,VCB,2022-01-24,vcb lap dinh co phieu ngan hang van ganh khong noi phien vn index mat hon 33 diem 1051708.html,https://kinhtechungkhoan.vn/vcb-lap-dinh-co-phieu-ngan-hang-van-ganh-khong-noi-phien-vn-index-mat-hon-33-diem-1051708.html,False,neutral,-0.6,3.0,4.0,3.0,3.0,3.0,unclear,other,irrelevant,"VCB lập đỉnh nhưng cổ phiếu ngân hàng không gánh nổi, VN-Index mất hơn 33 điểm.",,deepseek,deepseek-chat,deepseek-v4-flash,c33e26e7-c847-4176-ba47-32a9b16f1e81,f78d7284d40fb6f468248472092ca0574aad9327998ff6e8903a7509aab96e43,16ad98fb20ae86de86e6a0928e2918e62e21967230fe8caea9b58d2d248a0262,2026-07-07T10:16:13+00:00,ok,
22775fce208ceb73288b98b95508a0eb017bce955576cba6fea3e4fb68a04960,50c62c11dabb3d2045be67dc6d7a54b1729d99317db3086b38bdd55b99a0c304,HPG,2022-01-27,HPG: Kết quả kinh doanh quý 4 năm 2021,https://cafef.vn/du-lieu/HPG-505646/hpg-ket-qua-kinh-doanh-quy-4-nam-2021.chn,False,neutral,0.0,3.0,3.0,3.0,3.0,3.0,unclear,other,irrelevant,"Công bố kết quả kinh doanh quý 4 năm 2021 của Hòa Phát, không có số liệu cụ thể.",,deepseek,deepseek-chat,deepseek-v4-flash,6ef20988-abde-4c24-a4b0-67861c3e35cd,fbbd7e5692f6928037e1f87db8e02a682ee20121118db729c5922116ac0afb3a,01ae5f94f11124572472e50aed1e92810ae9dc85b0f16a2a5cb397ba40527675,2026-07-07T10:16:14+00:00,ok,
7ffa68c36a58437dde9c051987f5fd0c81896d98f33b965f830ba4e259d948cb,0f419296a89ba3b809a84e73783ac515c0ed3aee049159c4f2c3e84ef8f865a4,VCB,2022-02-08,lai suat tiet kiem vietcombank moi nhat thang 2 2022 1051682.html,https://kinhtechungkhoan.vn/lai-suat-tiet-kiem-vietcombank-moi-nhat-thang-2-2022-1051682.html,False,neutral,0.0,3.0,1.0,3.0,3.0,3.0,unclear,other,irrelevant,"Bài báo cập nhật lãi suất tiết kiệm của Vietcombank tháng 2/2022, không có thông tin bất thường.",,deepseek,deepseek-chat,deepseek-v4-flash,38aefcd6-a0c2-46a0-9e16-e93a4fab4209,e124c47b6b68876e3dec4a7ca9e61a668cb5566c08f7f0cfef28f6c4cb83e125,f0cdee33e2585f86514765ddbff7b48f1483901b1c27eb174a6ce16a4021e9f3,2026-07-07T10:16:15+00:00,ok,
5825575342e355ea5bd1bb490e608132978578077b50c3ca597258a5af265cf6,21ddaf106e77884ef2e0b19813a4f451339950c6124af6995f5e4c32d7c95cd4,HPG,2022-02-11,luong san xuat thep tang manh hoa phat hpg kin don hang den het thang 4 1074395.html,https://kinhtechungkhoan.vn/luong-san-xuat-thep-tang-manh-hoa-phat-hpg-kin-don-hang-den-het-thang-4-1074395.html,False,neutral,0.7,3.0,4.0,3.0,3.0,3.0,unclear,other,irrelevant,"Sản lượng thép tăng mạnh, kín đơn hàng đến hết tháng 4",,deepseek,deepseek-chat,deepseek-v4-flash,0d22edce-7d00-4417-af5d-1eb564eedd50,b8887c5060a58fa77a70a9ad177b5a90d0b86bdb8f9c44bccc6f9c862136efed,868442b047f52d642feb8dc3b10073eb078446dd94096ed5ff1b084dfad91614,2026-07-07T10:16:17+00:00,ok,
304d5349eba8998d3009a31fd30882a0a3734cc31d2c208709896f2b8fdeb2a9,f4ee8319a21ca7d7dbecb6c1e9df1cab241d408b2960d39efeef999519f90946,SSI,2022-02-15,chung khoan ssi se nhan khoan vay 10 000 ty dong tu mot ngan hang lon 1044854.html,https://kinhtechungkhoan.vn/chung-khoan-ssi-se-nhan-khoan-vay-10-000-ty-dong-tu-mot-ngan-hang-lon-1044854.html,False,neutral,0.3,3.0,4.0,3.0,3.0,3.0,unclear,other,irrelevant,SSI sẽ nhận khoản vay 10.000 tỷ đồng từ một ngân hàng lớn.,,deepseek,deepseek-chat,deepseek-v4-flash,cc5bb3c3-7e30-4f9b-8934-1df67171a497,d2d12ad566481d7670036abc1aeb3e5d5cd7d5fefebd652dbb109510f207bd11,5b82e434ab9a621af5d4303751f5647c70130c91dbb3e5b450727295ecdae839,2026-07-07T10:16:18+00:00,ok,
dde95fabaadf4a4134a0b4c1653ef11253dbf4b636cecb58fbc6fa614b1ea019,85a29d1415c99c70e14217eea005e3dc6074704aab3b2f87f0c65c55365ed8b7,SSI,2022-02-18,khoi ngoai mua rong hon 60 ty dong ma ssi bi xa manh nhat 1020366.html,https://kinhtechungkhoan.vn/khoi-ngoai-mua-rong-hon-60-ty-dong-ma-ssi-bi-xa-manh-nhat-1020366.html,False,neutral,0.3,3.0,3.0,3.0,3.0,3.0,unclear,other,irrelevant,"Khối ngoại mua ròng hơn 60 tỷ đồng mã SSI, bị xả mạnh nhất.",,deepseek,deepseek-chat,deepseek-v4-flash,caa2e05f-48f1-442b-951e-64e379e98b5b,6af800a45fb4503f6bd32214750c0200bde20cc3b6a1ef18bc034a9bb48d8c72,93b4ab3ce73cc984a29f3bd17eade7fb1af1541ded67de56cd6ac0afe1054660,2026-07-07T10:16:19+00:00,ok,
023180453922cdc4fa841bdf2f250ffe72e2b6dc219caacf88e1c1f45a6f7877,f3f76cab5a15d313b1d84c268808a417766a72e494df00b2870d4d8322f99674,HPG,2022-02-23,hoa phat hpg rot them 3 300 ty dong tang von cho cong ty bat dong san 1020327.html,https://kinhtechungkhoan.vn/hoa-phat-hpg-rot-them-3-300-ty-dong-tang-von-cho-cong-ty-bat-dong-san-1020327.html,False,neutral,0.3,3.0,4.0,3.0,3.0,3.0,unclear,other,irrelevant,Hoa Phat (HPG) rót thêm 3.300 tỷ đồng tăng vốn cho công ty bất động sản.,,deepseek,deepseek-chat,deepseek-v4-flash,5915dafc-8480-4c08-8e73-63831015ee00,c5ea0f33881dcf552b293e1943611c8e7cf17e3e505209119df6f115f01c62ff,341633792df181160499a582fdd60c82ce424d6b35c608bd648db0a2f3007989,2026-07-07T10:16:21+00:00,ok,
