decision_id,news_id,ticker,decision_date,event_date,trigger_type,action,reason,source,title,url,event_type,risk_flags,match_confidence,article_summary,content_hash
2025Q1_BSI_05,a7f430f8b84bd9a2,BSI,2025-03-31,2025-04-21,news,Watch,weak ticker matching confidence,cafef,"BSI: Các Quyết định của HĐQT về việc ban hành Quy chế hoạt động của HĐQT, Quy chế Nội bộ về QTCT (kèm quy chế)",https://cafef.vn/du-lieu/BSI-2183985/bsi-cac-quyet-dinh-cua-hdqt-ve-viec-ban-hanh-quy-che-hoat-dong-cua-hdqt-quy-che-noi-bo-ve-qtct-kem-quy-che.chn,general_news,,partial,"Công ty Cổ phần Chứng khoán BIDV thông báo các Quyết định của HĐQT về việc ban hành Quy chế hoạt động của HĐQT, Quy chế Nội bộ về QTCT (kèm quy chế) BSI: Các Quyết định của HĐQT về việc ban hành Quy chế hoạt động của HĐQT, Quy chế Nội bộ về QTCT (kèm quy chế) Công ty Cổ phần Chứng khoán BIDV thông báo các Quyết định của HĐQT về việc ban hành Quy chế hoạt động của HĐQT, Quy chế Nội bộ về QTCT (kèm quy chế)",0e1537ef1d3dc17b24d7d50411f9ebadf34bcab705781cd9c797e902fa075181
2025Q1_BSI_05,2ad9941327cb9c70,BSI,2025-03-31,2025-04-21,news,Watch,weak ticker matching confidence,cafef,"BSI: Nghị quyết, Biên bản họp ĐHĐCĐ thường niên năm 2024 và tài liệu kèm theo",https://cafef.vn/du-lieu/BSI-2184034/bsi-nghi-quyet-bien-ban-hop-dhdcd-thuong-nien-nam-2024-va-tai-lieu-kem-theo.chn,general_news,,partial,"Công ty Cổ phần Chứng khoán BIDV thông báo Nghị quyết, Biên bản họp ĐHĐCĐ thường niên năm 2024 và tài liệu kèm theo BSI: Nghị quyết, Biên bản họp ĐHĐCĐ thường niên năm 2024 và tài liệu kèm theo Công ty Cổ phần Chứng khoán BIDV thông báo Nghị quyết, Biên bản họp ĐHĐCĐ thường niên năm 2024 và tài liệu kèm theo",de4dbf55d195b9368b9b3838ad76861cf383d8259931a6bf4665b0caeb369ded
2025Q1_BSI_05,373dcfe8ced071f9,BSI,2025-03-31,2025-04-21,news,Watch,weak ticker matching confidence,cafef,BSI: Quyết định của BKS về việc ban hành Quy chế hoạt động của BKS (kèm QC),https://cafef.vn/du-lieu/BSI-2183982/bsi-quyet-dinh-cua-bks-ve-viec-ban-hanh-quy-che-hoat-dong-cua-bks-kem-qc.chn,general_news,,partial,Công ty Cổ phần Chứng khoán BIDV thông báo Quyết định của BKS về việc ban hành Quy chế hoạt động của BKS (kèm QC) BSI: Quyết định của BKS về việc ban hành Quy chế hoạt động của BKS (kèm QC) Công ty Cổ phần Chứng khoán BIDV thông báo Quyết định của BKS về việc ban hành Quy chế hoạt động của BKS (kèm QC),6dbc448d23230a1bf8d3c17f2b537aa76d65366534eef33d8e74ccfc0672ab02
2025Q1_BSI_05,9eff31495a70aee5,BSI,2025-03-31,2025-04-21,news,Watch,weak ticker matching confidence,cafef,BSI: Điều lệ công ty sửa đổi 2025,https://cafef.vn/du-lieu/BSI-2183984/bsi-dieu-le-cong-ty-sua-doi-2025.chn,general_news,,partial,Công ty Cổ phần Chứng khoán BIDV thông báo Điều lệ công ty sửa đổi BSI: Điều lệ công ty sửa đổi 2025 Công ty Cổ phần Chứng khoán BIDV thông báo Điều lệ công ty sửa đổi,01fa3c6a6e6be9fc7e95862b6245ffac5cda6a9a4999291fbc80f231f85f398a
2025Q1_BSI_05,c49f928b4ca77a8c,BSI,2025-03-31,2025-05-08,news,Watch,"event type: capital, dividend",cafef,BSI: Nghị quyết HĐQT triển khai phương án phát hành cổ phiếu để trả cổ tức và tăng vốn điều lệ của Công ty,https://cafef.vn/du-lieu/BSI-2197400/bsi-nghi-quyet-hdqt-trien-khai-phuong-an-phat-hanh-co-phieu-de-tra-co-tuc-va-tang-von-dieu-le-cua-cong-ty.chn,"capital,dividend",,partial,Công ty Cổ phần Chứng khoán BIDV công bố Nghị quyết HĐQT về việc triển khai phương án phát hành cổ phiếu để trả cổ tức và tăng vốn điều lệ của Công ty BSI: Nghị quyết HĐQT triển khai phương án phát hành cổ phiếu để trả cổ tức và tăng vốn điều lệ của Công ty Công ty Cổ phần Chứng khoán BIDV công bố Nghị quyết HĐQT về việc triển khai phương án phát hành cổ phiếu để trả cổ tức và tăng vốn điều lệ của Công ty,5d7c9b9030297884f11c0c769605df32dbcccda920759b628b6d7cfbf6c1889e
2025Q1_BSI_05,ac6978123eb965ea,BSI,2025-03-31,2025-05-19,news,Watch,"event type: capital, dividend",cafef,BSI: Thông báo nhận được công văn của UBCKNN về việc phát hành cổ phiếu để trả cổ tức,https://cafef.vn/du-lieu/BSI-2203152/bsi-thong-bao-nhan-duoc-cong-van-cua-ubcknn-ve-viec-phat-hanh-co-phieu-de-tra-co-tuc.chn,"capital,dividend",,partial,Công ty Cổ phần Chứng khoán BIDV thông báo nhận được công văn của UBCKNN về việc phát hành cổ phiếu để trả cổ tức BSI: Thông báo nhận được công văn của UBCKNN về việc phát hành cổ phiếu để trả cổ tức Công ty Cổ phần Chứng khoán BIDV thông báo nhận được công văn của UBCKNN về việc phát hành cổ phiếu để trả cổ tức,c35c2bf056e7b85cc80984d7b8f0f9da901a9b5616fa87a78e118c80bc4846a6
2025Q1_BSI_05,93b44ab8eb7437ba,BSI,2025-03-31,2025-05-26,news,Watch,"event type: capital, dividend",cafef,BSI: Thông báo phát hành cổ phiếu để trả cổ tức,https://cafef.vn/du-lieu/BSI-2206789/bsi-thong-bao-phat-hanh-co-phieu-de-tra-co-tuc.chn,"capital,dividend",,partial,Công ty Cổ phần Chứng khoán BIDV thông báo phát hành cổ phiếu để trả cổ tức BSI: Thông báo phát hành cổ phiếu để trả cổ tức Công ty Cổ phần Chứng khoán BIDV thông báo phát hành cổ phiếu để trả cổ tức,28a810496580cd75824e79de741242269f917985aebf6bf2e6c2b74cbe85dfea
2025Q1_BSI_05,97704795da59f0ba,BSI,2025-03-31,2025-05-26,news,Watch,event type: dividend,cafef,BSI: Thông báo và Nghị quyết HĐQT về ngày đăng ký cuối cùng để thực hiện quyền nhận cổ tức bằng cổ phiếu năm 2024,https://cafef.vn/du-lieu/BSI-2206717/bsi-thong-bao-va-nghi-quyet-hdqt-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-nhan-co-tuc-bang-co-phieu-nam-2024.chn,dividend,,partial,Công ty Cổ phần Chứng khoán BIDV công bố Thông báo và Nghị quyết HĐQT về ngày đăng ký cuối cùng để thực hiện quyền nhận cổ tức bằng cổ phiếu năm 2024 BSI: Thông báo và Nghị quyết HĐQT về ngày đăng ký cuối cùng để thực hiện quyền nhận cổ tức bằng cổ phiếu năm 2024 Công ty Cổ phần Chứng khoán BIDV công bố Thông báo và Nghị quyết HĐQT về ngày đăng ký cuối cùng để thực hiện quyền nhận cổ tức bằng cổ phiếu năm 2024,ed75d4c3cf06b5a63593f7c4c46a904c5facd8b9b2786d9c0f8f888d540d6321
2025Q1_BSI_05,ed66e9f69dcdeccb,BSI,2025-03-31,2025-05-30,news,Watch,event type: dividend,cafef,"BSI: 11.6.2025, ngày GDKHQ trả cổ tức năm 2024 bằng cổ phiếu (tỷ lệ 10:1)",https://cafef.vn/du-lieu/BSI-2226203/bsi-1162025-ngay-gdkhq-tra-co-tuc-nam-2024-bang-co-phieu-ty-le-101.chn,dividend,,partial,"Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo về ngày đăng ký cuối cùng trả cổ tức năm 2024 bằng cổ phiếu của Công ty Cổ phần Chứng khoán BIDV BSI: 11.6.2025, ngày GDKHQ trả cổ tức năm 2024 bằng cổ phiếu (tỷ lệ 10:1) Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo về ngày đăng ký cuối cùng trả cổ tức năm 2024 bằng cổ phiếu của Công ty Cổ phần Chứng khoán BIDV",5e0540c01308f6be095900ff902d7beecbcee4cd311f8f3f24d8b9bc4d678031
2025Q1_BSI_05,53235c03bab1a8dd,BSI,2025-03-31,2025-06-20,news,Review Required,"risk flags: audit_issue, governance, legal_risk",cafef,"BSC hoàn tất phát hành 22,3 triệu cổ phiếu trả cổ tức",https://cafef.vn/bsc-hoan-tat-phat-hanh-223-trieu-co-phieu-tra-co-tuc-188250620104858529.chn,"capital,dividend,earnings,governance,legal_risk,market","audit_issue,governance,legal_risk",exact,"Đến ngày 12/6, BSC đã phát hành 22,3 triệu cổ phiếu để trả cổ tức cho 7363 cổ đông. Đồng thời, công ty nâng vốn điều lệ lên mức 2.453,6 tỷ đồng. Theo Hà Ly | 20-06-2025 - 10:48 AM | Thị trường chứng khoán Đến ngày 12/6, BSC đã phát hành 22,3 triệu cổ phiếu để trả cổ tức cho 7363 cổ đông.",bf02d4ff18dc53c19875ea623f8d169a8f2770826713cd557632538f1d4c4601
