artifact_schema_version,news_id,ticker,article_date,effective_date,event_date,mapping_policy,window,ticker_relevance,materiality,direction,event_type,raw_return,benchmark_return,market_adjusted_return,abnormal_volume,volatility,max_adverse_move,window_end_date,benchmark_window_end_date
event_window_outcomes_v2,031ef1d479fa02d5,HDG,2025-06-26,2025-06-27,2025-06-27,next_trading_day_missing_publication_time,T+1,direct,low,neutral,governance,0.00801781737193763,0.003376013533220368,0.004641803838717262,-0.021378445617246,,0.0,2025-06-30,2025-06-30
event_window_outcomes_v2,031ef1d479fa02d5,HDG,2025-06-26,2025-06-27,2025-06-27,next_trading_day_missing_publication_time,T+5,direct,low,neutral,governance,0.00801781737193763,0.011323863967800163,-0.003306046595862533,-0.021217155545407707,0.011956979406462282,-0.004008908685968815,2025-07-04,2025-07-04
event_window_outcomes_v2,031ef1d479fa02d5,HDG,2025-06-26,2025-06-27,2025-06-27,next_trading_day_missing_publication_time,T+20,direct,low,neutral,governance,0.11358574610244987,0.11643965466954453,-0.002853908567094665,0.6039800364435661,0.022024058689593114,-0.004008908685968815,2025-07-25,2025-07-25
event_window_outcomes_v2,031ef1d479fa02d5,HDG,2025-06-26,2025-06-27,2025-06-27,next_trading_day_missing_publication_time,T+60,direct,low,neutral,governance,0.23875278396436528,0.1923671469404422,0.046385637023923065,0.7424202652573291,0.03283250159780004,-0.004008908685968815,2025-09-23,2025-09-23
event_window_outcomes_v2,0332db9674ce5215,MSB,2025-02-03,2025-02-04,2025-02-04,next_trading_day_missing_publication_time,T+1,direct,low,neutral,other,0.009605122732123883,0.0038982193123950903,0.005706903419728793,0.430922862438909,,0.0,2025-02-05,2025-02-05
event_window_outcomes_v2,0332db9674ce5215,MSB,2025-02-03,2025-02-04,2025-02-04,next_trading_day_missing_publication_time,T+5,direct,low,neutral,other,0.013874066168623411,0.002980991238890507,0.010893074929732904,0.7489633106307818,0.005995603470379807,0.0,2025-02-11,2025-02-11
event_window_outcomes_v2,0332db9674ce5215,MSB,2025-02-03,2025-02-04,2025-02-04,next_trading_day_missing_publication_time,T+20,direct,low,neutral,other,0.013874066168623411,0.03734541544106018,-0.02347134927243677,0.6204643636292511,0.004490863379304455,0.0,2025-03-04,2025-03-04
event_window_outcomes_v2,0332db9674ce5215,MSB,2025-02-03,2025-02-04,2025-02-04,next_trading_day_missing_publication_time,T+60,direct,low,neutral,other,0.0,-0.01947528228484685,0.01947528228484685,1.2900272025539081,0.02030228595251292,-0.11099252934898607,2025-05-05,2025-05-05
event_window_outcomes_v2,0524672d9cbb31a1,MBB,2025-11-14,2025-11-17,2025-11-17,next_trading_day_missing_publication_time,T+1,direct,high,risk,debt,-0.004201680672269004,0.003324427896181037,-0.007526108568450041,-0.3851416898615717,,-0.004201680672269004,2025-11-18,2025-11-18
event_window_outcomes_v2,0524672d9cbb31a1,MBB,2025-11-14,2025-11-17,2025-11-17,next_trading_day_missing_publication_time,T+5,direct,high,risk,debt,-0.027310924369748024,0.008196225867675544,-0.03550715023742357,-0.4148589193060971,0.002405277960594187,-0.027310924369748024,2025-11-24,2025-11-24
